,RainToday,Cloud3pm,Cloud9am,Sunshine,WindGustDir_WNW,WindGustDir_ENE,Humidity3pm,WindDir9am_E,WindDir3pm_ENE,WindDir3pm_W,WindGustDir_E,Rainfall,WindGustSpeed,WindDir9am_W,WindDir9am_NW,WindDir3pm_NW,WindGustDir_W,WindDir9am_N,WindDir3pm_WSW,Temp3pm,WindDir9am_ENE,WindDir3pm_NNE,WindGustDir_SSW,Humidity9am,WindDir3pm_S,MaxTemp,WindGustDir_NW,WindDir3pm_WNW,WindDir9am_S,WindDir9am_SW,label
0,0.0,0.875,0.875,0.5797101449275363,0.0,0.0,0.23711340206185563,0.0,0.0,0.0,0.0,0.0,0.20987654320987653,0.0,0.0,0.0,1.0,0.0,0.0,0.35652173913043483,0.0,0.0,0.0,0.4693877551020408,0.0,0.3005780346820809,0.0,1.0,0.0,1.0,
1,0.0,0.375,0.0,0.8623188405797102,0.0,1.0,0.1134020618556701,1.0,0.0,0.0,0.0,0.0,0.32098765432098764,0.0,0.0,0.0,0.0,0.0,0.0,0.8550724637681161,0.0,1.0,0.0,0.3775510204081632,0.0,0.8323699421965318,0.0,0.0,0.0,0.0,
2,1.0,1.0,1.0,0.0,0.0,0.0,0.8762886597938144,0.0,0.0,0.0,0.0,0.05663716814159292,0.13580246913580246,0.0,0.0,0.0,0.0,0.0,0.0,0.19420289855072467,0.0,0.0,0.0,0.8673469387755101,0.0,0.1358381502890173,0.0,0.0,0.0,0.0,
3,0.0,0.125,0.125,0.5579710144927537,0.0,0.0,0.2268041237113402,0.0,0.0,0.0,0.0,0.0,0.32098765432098764,0.0,0.0,0.0,0.0,0.0,0.0,0.655072463768116,0.0,0.0,0.0,0.4693877551020408,0.0,0.606936416184971,0.0,0.0,0.0,0.0,
4,1.0,0.75,0.875,0.2898550724637681,0.0,0.0,0.6597938144329897,0.0,0.0,0.0,0.0,0.07787610619469026,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.2318840579710145,0.0,0.0,0.0,0.9591836734693877,0.0,0.18786127167630057,0.0,1.0,0.0,0.0,
5,0.0,0.25,0.125,0.782608695652174,0.0,1.0,0.4639175257731959,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.327536231884058,0.0,0.0,0.0,0.7551020408163265,0.0,0.2658959537572254,0.0,0.0,0.0,0.0,
6,0.0,0.125,0.25,0.9202898550724637,0.0,0.0,0.23711340206185563,0.0,0.0,0.0,0.0,0.0,0.2716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434784,0.0,0.0,0.0,0.7142857142857142,0.0,0.6242774566473988,0.0,0.0,0.0,0.0,
7,0.0,0.125,0.125,0.7971014492753623,0.0,0.0,0.3917525773195876,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.6463768115942029,0.0,0.0,0.0,0.510204081632653,0.0,0.6098265895953757,0.0,0.0,0.0,0.0,
8,0.0,0.75,0.5,0.2971014492753623,0.0,0.0,0.5463917525773195,0.0,1.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.17681159420289858,0.0,0.0,0.0,0.9387755102040816,0.0,0.1358381502890173,0.0,0.0,0.0,0.0,
9,0.0,0.375,0.625,0.818840579710145,0.0,1.0,0.16494845360824742,0.0,0.0,0.0,0.0,0.0,0.24691358024691357,0.0,0.0,0.0,0.0,0.0,1.0,0.7275362318840581,0.0,0.0,0.0,0.31632653061224486,0.0,0.6734104046242775,0.0,0.0,0.0,0.0,
10,1.0,0.25,0.875,0.5217391304347826,0.0,0.0,0.4639175257731959,0.0,0.0,0.0,1.0,0.03008849557522124,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.4521739130434783,0.0,0.0,0.0,0.846938775510204,0.0,0.42485549132947975,0.0,0.0,0.0,0.0,
11,0.0,0.125,0.0,0.9855072463768116,0.0,0.0,0.1958762886597938,0.0,0.0,0.0,1.0,0.0,0.3703703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.6521739130434784,0.0,0.0,0.0,0.39795918367346933,0.0,0.6473988439306358,0.0,0.0,0.0,0.0,
12,0.0,0.375,0.5,0.8768115942028986,0.0,0.0,0.6701030927835051,0.0,1.0,0.0,0.0,0.0,0.32098765432098764,0.0,0.0,0.0,0.0,0.0,0.0,0.6753623188405797,0.0,0.0,0.0,0.7040816326530611,0.0,0.630057803468208,0.0,0.0,0.0,0.0,
13,0.0,0.0,0.0,0.7971014492753623,0.0,0.0,0.26804123711340205,0.0,1.0,0.0,0.0,0.0,0.20987654320987653,0.0,0.0,0.0,0.0,0.0,0.0,0.4695652173913044,0.0,0.0,0.0,0.4693877551020408,0.0,0.41907514450867045,0.0,0.0,0.0,0.0,
